Country,Ministers,Members of parliament ,Regional assemblies,Companies executive boards,Central bank boards ,Research organisations,Sport organisations
Belgium,1163886.43,1810424.404,1836183.555,704289.5827,950231.9767,1811030.356,530575.2995
Bulgaria,1003625.916,726589.1451,808982.6738,519219.9516,705513.7059,1423739.37,646066.605
Czechia,542806.0929,812691.2062,811372.1254,525005.4929,498256.9613,1321692.15,317523.6396
Denmark,814266.4661,843609.3653,778455.0186,403984.9504,688550.0094,819857.8395,379477.0571
Germany,12329236.26,11520536.15,11256287.08,5977175.697,3478915.295,12777070.05,5629550.927
Estonia,76649.23218,122749.7459,174121.0265,52309.46448,98003.91119,0,61746.91984
Ireland,287842.7829,293898.6876,319617.0988,158944.4889,277011.7386,851488.3333,275481.5196
Greece,540593.7946,795496.836,888187.9182,341312.3878,247879.1161,517139.9815,392212.9073
Spain,6825900.038,6752232.134,8256995.107,2156438.528,4367610.402,8550933.444,2519471.461
France,9367687.05,5457312.638,12738157.04,5347829.722,7456284.424,9709665.982,5655080.188
Croatia,335691.0598,428054.3842,435072.8326,303486.1193,108659.5486,521565.8333,132494.5464
Italy,5042529.899,5526906.058,3472224.84,2839936.983,2031013.831,18004128.8,2116217.671
Cyprus,34908.91719,43795.68452,63162.51461,21697.37274,11845.6994,82919.89583,13267.18333
Latvia,251484.7528,194016.1433,216723.1923,230615.7046,220250.7862,346410.697,134345.1741
Lithuania,245318.5799,295249.9367,315504.9204,195735.0431,200313.6406,441507.6161,143330.0087
Luxembourg,50701.48665,49208.16991,44705.08565,13836.03188,13997.35735,113876.8056,34465.36947
Hungary,259909.9021,407423.6465,492539.5833,447269.401,734820.3502,0,410639.7638
Malta,22250.81526,17629.49745,37137.56844,5170.250347,31025.67852,26150.89744,14569.78571
Netherlands,2260121.85,2503547.661,2277762.014,1158372.858,1027971.593,2227640.111,1713569.316
Austria,1159094.477,1060424.502,1106198.033,394859.4581,37758.49468,1073043.733,482428.9223
Poland,3175558.806,3357782.262,3563013.715,2042705.231,3013039.462,3370301.598,415700.3297
Portugal,780261.9496,1300190.195,1028480.639,330853.1467,326682.7289,1512471.528,599281.1714
Romania,1400468.045,909683.8619,1268303.257,1048652.972,1052982.996,6235233.889,904531.0284
Slovenia,240870.563,154423.9708,210030.1127,150882.9209,246300.005,368631.5,51266.63245
Slovakia,280756.6483,406059.0154,340039.4585,337221.452,254091.8292,375734.2083,227717.702
Finland,1038034.318,896673.2421,944131.2247,557312.4122,670990.8934,1026628.128,474491.9918
Sweden,1810939.565,1712633.012,1791836.523,1001227.952,1133535.385,2255171.825,1601442.771
United Kingdom,5718221.308,5535741.339,7933311.51,4432076.697,3818439.338,9992596.626,5308106.611
EU-28,52881873.12,53896142.34,57416702.11,35003523.12,38671902.04,84689324.1,28811749.65
