Country,Ministers,Members of parliament ,Regional assemblies,Companies executive boards,Central bank boards ,Research organisations,Sport organisations
Belgium,3180426.412,2569113.604,2544757.883,3614983.16,3382440.384,2568540.667,3779233.012
Bulgaria,2041133.616,2298189.819,2221738.713,2490603.041,2317745.247,1651319.769,2372904.877
Czechia,3640252.487,3385918.531,3387161.604,3657027.391,3682234.635,2906246.933,3852553.85
Denmark,1350744.421,1322420.724,1385311.987,1746775.14,1472094.218,1345347.259,1770431.771
Germany,21235402.19,21996148.52,22244728.32,27210802.35,29560922.52,20814123.76,27537813.89
Estonia,428093.4339,389604.4926,346715.0312,448414.5066,410264.5873,492087.25,440535.2524
Ireland,1365744.37,1359899.822,1335079.008,1490143.991,1376197.4,821770.5833,1377674.213
Greece,3876561.063,3636350.216,3549001.696,4064356.216,4152404.147,3898663.037,4016389.519
Spain,11843835.66,11914121.75,10478436.58,16298940.4,14189274.81,10197991.81,15952572.9
France,15449390.93,19005785.47,12384026.91,19105357.64,17187767.15,15138369.05,18825920.49
Croatia,1346999.411,1263488.717,1257142.957,1376117.646,1552270.922,1178939.94,1530720.407
Italy,18957616.81,18513532.7,20397298.58,20976990.59,21718624.78,7074207.6,21640508.48
Cyprus,274579.3481,266357.0975,248438.4411,286802.9863,295917.9911,230158.4375,294602.8
Latvia,565178.2465,611502.5068,593198.8231,582000.3556,590355.3025,488660.4015,659602.0438
Lithuania,923467.7784,882599.5638,866021.1035,964051.3065,960303.7795,762889.4137,1006944.196
Luxembourg,150509.9411,151966.797,156359.934,186475.2888,186317.9022,88877.11111,166349.6372
Hungary,3581394.13,3452098.66,3377494.731,3417173.945,3165136.176,3809204.583,3449279.741
Malta,144189.0227,148699.5705,129659.0956,160860.1773,135624.4874,140382.4231,151685.9429
Netherlands,4259022.006,4024610.267,4242035.059,5319973.171,5445545.67,4290300.944,4785335.669
Austria,2221453.749,2313157.547,2270615.664,2931733.178,3263622.535,2301429.244,2850346.187
Poland,11769014.95,11602744.25,11415479.8,12802692.81,11917306.53,11591320.92,14287261.51
Portugal,3336562.495,2874837.021,3116130.362,3735662.746,3739366.311,2686319.278,3497283.588
Romania,6583214.012,7038139.536,6705722.311,6909324.066,6905310.411,2101695.533,7042915.883
Slovenia,593310.4165,676133.2504,622858.0646,679525.863,588108.5715,470905.0952,774966.3322
Slovakia,1824343.186,1708519.873,1769545.087,1772149.913,1848990.826,1736550.625,1873369.765
Finland,1097094.945,1230573.539,1185761.877,1551011.156,1443671.538,1107865.111,1629213.399
Sweden,1913728.521,2009648.301,1932367.763,2703781.242,2574686.085,1480281.723,2118138.967
United Kingdom,18531314.19,18703244.69,16444282.02,19743104.66,20321266.62,14504047.59,18917719.48
EU-28,148200646,147256813.9,143980743.6,164837413.1,161423789,118602100.7,170599191.6
