State,Caring responsibilites,Cooking and household,"Sporting, cultural or leisure activities",Voluntary or charitable activities
Belgium,1223877.6,1576799.6,1658148.8,567086.4
Bulgaria,645858.2,587015.7,579034.8,143431.9
Czechia,962523.8,573512.4,1152630.0,320835.4
Denmark,448014.6,1149114.9,1080011.3,464510.5
Germany,6617489.3,11383244.6,8277504.7,6278007.5
Estonia,150228.7,232444.7,188728.4,68691.8
Ireland,498737.5,731451.2,794900.2,290049.2
Greece,867309.9,666401.5,770966.4,245827.7
Spain,4942462.3,6023277.9,8351345.8,909036.2
France,6914018.0,8768234.8,9345541.2,3663515.5
Croatia,411618.9,289428.9,315225.4,156476.9
Italy,6722075.5,5014449.7,6648415.8,2308178.7
Cyprus,81031.2,62084.7,66534.2,30521.9
Latvia,245389.1,372254.3,173707.5,56667.4
Lithuania,338243.0,398757.9,200982.3,55226.8
Luxembourg,72072.5,75602.0,91612.3,35951.1
Hungary,1095596.7,1014973.9,476270.6,351323.8
Malta,38245.1,39394.4,43436.8,20243.3
Netherlands,1832567.6,2800906.7,3753791.7,1935309.6
Austria,578709.2,808989.1,833178.6,892145.0
Poland,4254656.0,3747459.4,3124523.4,855066.9
Portugal,1101927.7,865676.5,788253.9,187544.1
Romania,2329868.4,3443995.1,664078.5,770503.4
Slovenia,259459.2,228328.3,352125.5,201641.0
Slovakia,486406.4,476838.8,414073.3,102042.4
Finland,593526.3,1206598.7,923940.4,355593.3
Sweden,961303.6,2021907.1,2025701.1,1118481.3
United Kingdom,5717398.7,11604316.1,8532164.6,2853049.3
